Confirmed,Romania,Mexico,United Arab Emirates,Denmark,Indonesia,Norway,Belarus,Qatar,Czechia,Philippines,Serbia,Ukraine,Australia,Malaysia,Dominican Republic,
number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
9710,5.57,,,,,,,,,,,,,,,
9501,,10.59,,,,,,,,,,,,,,
8238,,,8.91,,,,,,,,,,,,,
8108,,,,3.17,,,,,,,,,,,,
7418,,,,,7.16,,,,,,,,,,,
7338,,,,,,1.52,,,,,,,,,,
7281,,,,,,,14.17,,,,,,,,,
7141,,,,,,,,11.87,,,,,,,,
7132,,,,,,,,,2.35,,,,,,,
6710,,,,,,,,,,4.48,,,,,,
6630,,,,,,,,,,,7.3,,,,,
6592,,,,,,,,,,,,11.26,,,,
6547,,,,,,,,,,,,,0.44,,,
5532,,,,,,,,,,,,,,2,,
5300,,,,,,,,,,,,,,,7.61,
